trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'e': 0.95, 'a': 0.5}",20,0,-64.96065257564872,"{0: 13, 1: 0, 2: 6, 3: 1, 4: 0}",0
2,False,"{'e': 0.8999999999999999, 'a': 0.5}",25,0,-264.4135851988815,"{0: 12, 1: 0, 2: 8, 3: 0, 4: 5}",0
3,False,"{'e': 0.8499999999999999, 'a': 0.5}",20,0,-62.70353241776627,"{0: 13, 1: 4, 2: 2, 3: 0, 4: 1}",0
4,False,"{'e': 0.7999999999999998, 'a': 0.5}",25,7,-109.5525558073041,"{0: 12, 1: 0, 2: 4, 3: 0, 4: 2}",1
5,False,"{'e': 0.7499999999999998, 'a': 0.5}",25,0,-77.47187050855688,"{0: 18, 1: 3, 2: 2, 3: 1, 4: 1}",0
6,False,"{'e': 0.6999999999999997, 'a': 0.5}",25,0,-101.33012451029487,"{0: 17, 1: 1, 2: 4, 3: 2, 4: 1}",0
7,False,"{'e': 0.6499999999999997, 'a': 0.5}",20,0,-54.590672723889085,"{0: 16, 1: 2, 2: 0, 3: 1, 4: 1}",0
8,False,"{'e': 0.5999999999999996, 'a': 0.5}",25,0,-211.9874075550857,"{0: 14, 1: 3, 2: 3, 3: 1, 4: 4}",0
9,False,"{'e': 0.5499999999999996, 'a': 0.5}",30,0,-282.3297718801103,"{0: 17, 1: 1, 2: 4, 3: 3, 4: 5}",0
10,False,"{'e': 0.4999999999999996, 'a': 0.5}",30,19,-20.25986623151598,"{0: 8, 1: 1, 2: 1, 3: 1, 4: 0}",1
11,False,"{'e': 0.4499999999999996, 'a': 0.5}",20,5,-95.06593442621987,"{0: 6, 1: 4, 2: 4, 3: 0, 4: 1}",1
12,False,"{'e': 0.39999999999999963, 'a': 0.5}",30,1,-81.68058038997287,"{0: 21, 1: 0, 2: 7, 3: 0, 4: 1}",1
13,False,"{'e': 0.34999999999999964, 'a': 0.5}",30,0,-107.23426022710937,"{0: 22, 1: 2, 2: 3, 3: 1, 4: 2}",0
14,False,"{'e': 0.29999999999999966, 'a': 0.5}",25,0,-37.93670282156925,"{0: 21, 1: 2, 2: 1, 3: 0, 4: 1}",0
15,False,"{'e': 0.24999999999999967, 'a': 0.5}",25,11,-19.864453728166126,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
16,False,"{'e': 0.19999999999999968, 'a': 0.5}",20,10,9.036088694957549,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
17,False,"{'e': 0.1499999999999997, 'a': 0.5}",20,9,-37.52957356316676,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 1}",1
18,False,"{'e': 0.09999999999999969, 'a': 0.5}",25,0,-16.432183971997084,"{0: 21, 1: 0, 2: 3, 3: 1, 4: 0}",1
19,False,"{'e': 0.049999999999999684, 'a': 0.5}",20,0,-80.49094747076592,"{0: 14, 1: 4, 2: 0, 3: 0, 4: 2}",0
20,False,"{'e': -3.191891195797325e-16, 'a': 0.5}",25,18,-0.8975015081329571,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
1,True,"{'e': 0, 'a': 0}",20,3,15.088356132086988,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
2,True,"{'e': 0, 'a': 0}",20,0,11.811937009604085,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
3,True,"{'e': 0, 'a': 0}",30,15,-17.74888052436659,"{0: 13, 1: 0, 2: 0, 3: 2, 4: 0}",1
4,True,"{'e': 0, 'a': 0}",20,10,11.32486820712152,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
5,True,"{'e': 0, 'a': 0}",25,0,6.939388543529555,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
6,True,"{'e': 0, 'a': 0}",25,0,-44.39215990050146,"{0: 21, 1: 2, 2: 0, 3: 1, 4: 1}",0
7,True,"{'e': 0, 'a': 0}",20,15,12.978547694004167,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'e': 0, 'a': 0}",20,5,-18.549237370644686,"{0: 13, 1: 0, 2: 0, 3: 2, 4: 0}",1
9,True,"{'e': 0, 'a': 0}",20,14,11.7931174428366,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'e': 0, 'a': 0}",20,0,-70.30862739739769,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",0
