trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'e': 0.9950124791926823, 'a': 0.899}",20,0,-90.9952980620574,"{0: 15, 1: 0, 2: 1, 3: 3, 4: 1}",0
2,False,"{'e': 0.9900498337491681, 'a': 0.898}",20,0,-84.93349910999754,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
3,False,"{'e': 0.9851119396030626, 'a': 0.897}",30,10,-47.23234593262293,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",1
4,False,"{'e': 0.9801986733067553, 'a': 0.896}",30,0,-287.96735894050624,"{0: 13, 1: 4, 2: 8, 3: 0, 4: 5}",0
5,False,"{'e': 0.9753099120283326, 'a': 0.895}",25,0,-152.01200036316314,"{0: 9, 1: 3, 2: 12, 3: 1, 4: 0}",0
6,False,"{'e': 0.9704455335485082, 'a': 0.894}",20,0,-95.3434793867977,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
7,False,"{'e': 0.9656054162575665, 'a': 0.893}",20,0,-100.43425744909557,"{0: 9, 1: 2, 2: 8, 3: 1, 4: 0}",0
8,False,"{'e': 0.9607894391523232, 'a': 0.892}",20,0,-160.19261913075954,"{0: 10, 1: 3, 2: 4, 3: 0, 4: 3}",0
9,False,"{'e': 0.9559974818331, 'a': 0.891}",25,0,-203.9511644254859,"{0: 13, 1: 4, 2: 4, 3: 0, 4: 4}",0
10,False,"{'e': 0.951229424500714, 'a': 0.89}",20,0,-145.09188096207993,"{0: 10, 1: 2, 2: 3, 3: 4, 4: 1}",0
11,False,"{'e': 0.9464851479534838, 'a': 0.889}",20,0,-57.73869176306862,"{0: 14, 1: 4, 2: 1, 3: 0, 4: 1}",0
12,False,"{'e': 0.9417645335842487, 'a': 0.888}",20,0,-100.49237321987592,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
13,False,"{'e': 0.9370674633774034, 'a': 0.887}",30,0,-28.83973067657997,"{0: 23, 1: 4, 2: 3, 3: 0, 4: 0}",0
14,False,"{'e': 0.9323938199059483, 'a': 0.886}",25,0,-176.86271641722942,"{0: 14, 1: 2, 2: 6, 3: 0, 4: 3}",0
15,False,"{'e': 0.9277434863285529, 'a': 0.885}",30,0,-156.18740390418995,"{0: 18, 1: 0, 2: 9, 3: 2, 4: 1}",0
16,False,"{'e': 0.9231163463866358, 'a': 0.884}",25,0,-127.43257548090597,"{0: 16, 1: 0, 2: 7, 3: 0, 4: 2}",0
17,False,"{'e': 0.9185122844014574, 'a': 0.883}",30,0,-39.03480665793474,"{0: 25, 1: 2, 2: 2, 3: 0, 4: 1}",0
18,False,"{'e': 0.9139311852712282, 'a': 0.882}",30,0,-252.29337903053064,"{0: 15, 1: 3, 2: 7, 3: 1, 4: 4}",0
19,False,"{'e': 0.9093729344682314, 'a': 0.881}",25,9,-44.775965914542596,"{0: 9, 1: 2, 2: 5, 3: 0, 4: 0}",1
20,False,"{'e': 0.9048374180359595, 'a': 0.88}",20,0,-106.96461813225501,"{0: 11, 1: 1, 2: 7, 3: 0, 4: 1}",0
21,False,"{'e': 0.9003245225862656, 'a': 0.879}",20,0,-80.56720293348933,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
22,False,"{'e': 0.8958341352965282, 'a': 0.878}",30,6,-98.9346620432073,"{0: 15, 1: 0, 2: 8, 3: 0, 4: 1}",1
23,False,"{'e': 0.8913661439068313, 'a': 0.877}",25,0,-145.64822303416528,"{0: 13, 1: 1, 2: 9, 3: 1, 4: 1}",0
24,False,"{'e': 0.8869204367171575, 'a': 0.876}",20,2,-47.73144825121953,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 1}",1
25,False,"{'e': 0.8824969025845955, 'a': 0.875}",20,0,-77.67561766887191,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
26,False,"{'e': 0.8780954309205613, 'a': 0.874}",30,0,-220.88356418587531,"{0: 16, 1: 5, 2: 5, 3: 0, 4: 4}",0
27,False,"{'e': 0.8737159116880344, 'a': 0.873}",25,0,-67.84411261302276,"{0: 17, 1: 1, 2: 6, 3: 1, 4: 0}",0
28,False,"{'e': 0.8693582353988059, 'a': 0.872}",20,0,-206.14078423342238,"{0: 10, 1: 1, 2: 5, 3: 0, 4: 4}",0
29,False,"{'e': 0.8650222931107413, 'a': 0.871}",30,0,-163.78547760645014,"{0: 19, 1: 3, 2: 5, 3: 0, 4: 3}",0
30,False,"{'e': 0.8607079764250578, 'a': 0.87}",20,0,-97.50947154340508,"{0: 11, 1: 0, 2: 7, 3: 2, 4: 0}",0
31,False,"{'e': 0.8564151774836135, 'a': 0.869}",30,0,-85.16501845237764,"{0: 19, 1: 3, 2: 7, 3: 1, 4: 0}",0
32,False,"{'e': 0.8521437889662113, 'a': 0.868}",25,0,-151.11605743292253,"{0: 15, 1: 1, 2: 6, 3: 1, 4: 2}",0
33,False,"{'e': 0.8478937040879159, 'a': 0.867}",25,0,-37.25896792708864,"{0: 19, 1: 3, 2: 2, 3: 1, 4: 0}",0
