trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'e': 1.0, 'a': 0.5}",30,0,-210.97256046674067,"{0: 18, 1: 1, 2: 6, 3: 2, 4: 3}",0
2,False,"{'e': 1.0, 'a': 0.5}",25,0,-80.97026679817094,"{0: 17, 1: 1, 2: 5, 3: 2, 4: 0}",0
3,False,"{'e': 1.0, 'a': 0.5}",20,6,-65.31535317976862,"{0: 9, 1: 0, 2: 4, 3: 0, 4: 1}",1
4,False,"{'e': 1.0, 'a': 0.5}",20,0,-91.00110000712473,"{0: 14, 1: 3, 2: 1, 3: 0, 4: 2}",0
5,False,"{'e': 1.0, 'a': 0.5}",20,0,-161.11649616840384,"{0: 8, 1: 2, 2: 6, 3: 3, 4: 1}",0
6,False,"{'e': 1.0, 'a': 0.5}",35,2,-281.1807518720413,"{0: 19, 1: 2, 2: 4, 3: 3, 4: 5}",1
7,False,"{'e': 1.0, 'a': 0.5}",30,0,-56.62730321878602,"{0: 21, 1: 2, 2: 7, 3: 0, 4: 0}",0
8,False,"{'e': 1.0, 'a': 0.5}",30,0,-267.8555510080149,"{0: 13, 1: 5, 2: 5, 3: 4, 4: 3}",0
9,False,"{'e': 1.0, 'a': 0.5}",20,0,-46.99533717323711,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
10,False,"{'e': 1.0, 'a': 0.5}",25,0,-35.94021462062481,"{0: 17, 1: 5, 2: 3, 3: 0, 4: 0}",0
11,False,"{'e': 1.0, 'a': 0.5}",20,0,-2.2496866996214178,"{0: 15, 1: 4, 2: 1, 3: 0, 4: 0}",0
12,False,"{'e': 1.0, 'a': 0.5}",25,0,-199.73795466970233,"{0: 14, 1: 1, 2: 5, 3: 2, 4: 3}",0
13,False,"{'e': 1.0, 'a': 0.5}",20,0,-150.54656627635245,"{0: 6, 1: 6, 2: 6, 3: 1, 4: 1}",0
14,False,"{'e': 1.0, 'a': 0.5}",25,0,-124.69113256410371,"{0: 14, 1: 0, 2: 10, 3: 0, 4: 1}",0
15,False,"{'e': 1.0, 'a': 0.5}",30,0,-181.83363674906204,"{0: 16, 1: 5, 2: 5, 3: 2, 4: 2}",0
16,False,"{'e': 1.0, 'a': 0.5}",20,0,-82.12891648167741,"{0: 14, 1: 3, 2: 0, 3: 2, 4: 1}",0
17,False,"{'e': 1.0, 'a': 0.5}",20,0,-114.95520351356186,"{0: 12, 1: 0, 2: 5, 3: 2, 4: 1}",0
18,False,"{'e': 1.0, 'a': 0.5}",20,0,-86.15220514169862,"{0: 12, 1: 4, 2: 2, 3: 1, 4: 1}",0
19,False,"{'e': 1.0, 'a': 0.5}",25,0,-116.89856889991026,"{0: 14, 1: 6, 2: 2, 3: 2, 4: 1}",0
20,False,"{'e': 1.0, 'a': 0.5}",20,0,-115.0541720125615,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 2}",0
1,True,"{'e': 1.0, 'a': 0.5}",30,0,-168.48862485166418,"{0: 17, 1: 3, 2: 7, 3: 1, 4: 2}",0
2,True,"{'e': 1.0, 'a': 0.5}",25,0,-187.53286458928434,"{0: 9, 1: 6, 2: 7, 3: 1, 4: 2}",0
3,True,"{'e': 1.0, 'a': 0.5}",20,0,-83.43954311398463,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
4,True,"{'e': 1.0, 'a': 0.5}",25,0,-138.39627390177253,"{0: 15, 1: 3, 2: 4, 3: 1, 4: 2}",0
5,True,"{'e': 1.0, 'a': 0.5}",20,0,-157.818083500088,"{0: 8, 1: 5, 2: 4, 3: 1, 4: 2}",0
6,True,"{'e': 1.0, 'a': 0.5}",20,0,-86.17727417387297,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
7,True,"{'e': 1.0, 'a': 0.5}",30,0,-115.43334283529315,"{0: 20, 1: 3, 2: 3, 3: 3, 4: 1}",0
8,True,"{'e': 1.0, 'a': 0.5}",25,8,-58.13316854570738,"{0: 12, 1: 1, 2: 3, 3: 0, 4: 1}",1
9,True,"{'e': 1.0, 'a': 0.5}",20,14,-34.23925656126461,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 1}",1
10,True,"{'e': 1.0, 'a': 0.5}",20,0,-85.10805025581298,"{0: 12, 1: 4, 2: 2, 3: 1, 4: 1}",0
